Datetime,Close,High,Low,Open,Volume,Return,SMA_5,SMA_20
2025-11-13 14:30:00+00:00,421.6799926757813,423.3999938964844,421.4299926757813,423.1749877929688,2074156,,,
2025-11-13 14:31:00+00:00,422.760009765625,422.9500122070313,420.5899963378906,421.760009765625,447548,0.0025612244085626568,,
2025-11-13 14:32:00+00:00,422.9400024414063,423.7708129882813,421.8900146484375,422.6600036621094,344262,0.0004257561539018351,,
2025-11-13 14:33:00+00:00,423.4601135253906,424.0,422.510009765625,423.0072021484375,314144,0.0012297514564287848,,
2025-11-13 14:34:00+00:00,423.4750061035156,424.5,423.010009765625,423.5299987792969,333581,3.516878603049278e-05,422.86302490234374,
2025-11-13 14:35:00+00:00,421.510009765625,423.5299987792969,421.3599853515625,423.4400024414063,337102,-0.004640170752864492,422.8290283203125,
2025-11-13 14:36:00+00:00,420.2900085449219,421.55999755859375,419.2999877929688,421.5199890136719,697498,-0.0028943588347557503,422.33502807617185,
2025-11-13 14:37:00+00:00,420.5928039550781,420.6998901367188,418.860107421875,420.3299865722656,472652,0.0007204439886747682,421.86558837890624,
2025-11-13 14:38:00+00:00,420.635009765625,421.2099914550781,420.0499877929688,420.55999755859375,312764,0.00010034838958250525,421.3005676269531,
2025-11-13 14:39:00+00:00,420.1199951171875,421.239990234375,420.0199890136719,420.6099853515625,219293,-0.0012243741877892012,420.6295654296875,
2025-11-13 14:40:00+00:00,421.2560119628906,421.4800109863281,419.91009521484375,420.0499877929688,277458,0.002704029465168123,420.5787658691406,
2025-11-13 14:41:00+00:00,419.2900085449219,421.510009765625,419.1000061035156,421.2999877929688,317523,-0.004667003822231397,420.37876586914064,
2025-11-13 14:42:00+00:00,419.9383850097656,419.9383850097656,418.1099853515625,419.2959899902344,469124,0.0015463675537936705,420.2478820800781,
2025-11-13 14:43:00+00:00,419.0250854492188,420.1600036621094,418.4100036621094,419.7950134277344,229419,-0.0021748418176289475,419.9258972167969,
2025-11-13 14:44:00+00:00,418.6600036621094,419.2900085449219,418.5,419.0101013183594,183413,-0.0008712647518895889,419.63389892578124,
2025-11-13 14:45:00+00:00,419.2550048828125,419.8500061035156,418.0400085449219,418.6499938964844,301652,0.0014212038778449454,419.23369750976565,
2025-11-13 14:46:00+00:00,419.1799926757813,419.6300048828125,418.5199890136719,419.2900085449219,239685,-0.00017891785705015373,419.2116943359375,
2025-11-13 14:47:00+00:00,418.3851013183594,419.4566040039063,417.80999755859375,419.1900024414063,367003,-0.0018963008046921637,418.9010375976562,
2025-11-13 14:48:00+00:00,418.4849853515625,419.25,418.3299865722656,418.3550109863281,236968,0.0002387370699588054,418.793017578125,
